id,name,rank,label,unit_id
198,"Lección 1: Hola,¿qué tal?",1,"Lección 1",198
199,Lección 2: Las clases,2,"Lección 2",199
200,Lección 3: La familia,3,"Lección 3",200
201,Lección 4: El fin de semana,4,"Lección 4",201
202,Lección 5: Las vacaciones,5,"Lección 5",202
203,Lección 6: ¡De compras!,6,"Lección 6",203
204,Lección 7: La vida diaria,7,"Lección 7",204
205,Lección 8: ¡A comer!,8,"Lección 8",205
206,Lección 9: Las celebraciones,9,"Lección 9",206
207,Lección 10: En el consultorio,10,"Lección 10",207
208,Lección 11: El carro y la tecnología,11,"Lección 11",208
209,"Lección 12: Hogar,dulce hogar",12,"Lección 12",209
210,Lección 13: La naturaleza,13,"Lección 13",210
211,Lección 14: En la ciudad,14,"Lección 14",211
212,Lección 15: El bienestar,15,"Lección 15",212
213,Lección 16: El mundo del trabajo,16,"Lección 16",213
220,Unité 1: Salut!,1,"Unité 1",220
221,Unité 2: À la fac,2,"Unité 2",221
222,Unité 3: La famille et les copains,3,"Unité 3",222
223,Unité 4: Au café,4,"Unité 4",223
224,Unité 5: Les loisirs,5,"Unité 5",224
225,Unité 6: Les fêtes,6,"Unité 6",225
226,Unité 7: En vacances,7,"Unité 7",226
227,Unité 8: Chez nous,8,"Unité 8",227
228,Unité 9: La nourriture,9,"Unité 9",228
229,Unité 10: La santé,10,"Unité 10",229
230,Unité 11: La technologie,11,"Unité 11",230
231,Unité 12: En ville,12,"Unité 12",231
232,Unité 13: L'espace vert,13,"Unité 13",232
