group_topic_id,group_topic_name,bank_name,direction_line,item_type,dl_lang,prompt_lang,prompt,alternates_separated_by_semicolon
,University and school,Completar - Fill in the blanks,Complete each sentence with the appropiate word.,fib,es,es,La profesora de @@español@@ enseña las reglas de gramática.,inglés; lenguas extranjeras
,,,,,,,Tú compras libros con descuento en la @@librería@@.,
,,,,,,,Quince estudiantes viven en la @@residencia estudiantil@@. ,
,,,,,,,Los equipos juegan el torneo en el @@estadio@@.,
,,,,,,,Estudiamos la tabla periódica en la clase de @@química@@.,
,,,,,,,Mauricio pinta montañas en el curso de @@arte@@.,
,,,,,,,En la clase de @@biología@@ estudias las partes de la célula.,
,,,,,,,Vosotros aprendéis a multiplicar en el curso de @@matemáticas@@.,
,,,,,,,El científico hace experimentos en el @@laboratorio@@.,
,,,,,,,Yo estudio la teoría de la relatividad en la clase de @@física@@.,
,,,,,,,"Este semestre, el curso de @@historia@@ es sobre el antiguo Egipto.",
,,,,,,,Debes comprar un mapa de Brasil para la clase de @@geografía@@.,
,,,,,,,En el curso de @@computación@@ aprendo a programar.,
,,,,,,,Carlos abre la @@ventana@@ del salón de clases.,puerta
,,,,,,,"Para aprobar el @@examen@@ final, debemos estudiar mucho.",
,,,,,,,El profesor escribe en la pizarra con el @@marcador@@ rojo.,
,,,,,,,Ana y tú leéis un @@libro@@ de cuentos para la clase de literatura.,
,,,,,,,Yo escribo en un papel con la @@pluma@@.,
,,,,,,,La profesora Sánchez borra la @@pizarra@@ con el borrador.,
,,,,,,,Juana y Tomás salen del salón de clases por la @@puerta@@.,
,,,,,,,Ella se sienta en la @@silla@@ que está junto a la ventana.,mesa
,,,,,,,Un @@semestre@@ es un periodo de seis meses.,
,,,,,,,Él utiliza el @@mapa@@ para encontrar la dirección.,
,,,,,,,El @@reloj@@ marca la hora equivocada.,
,,,,,,,Mi @@compañero de clase@@ y yo preparamos la tarea.,
,,,,,,,Sofía y su @@compañera de cuarto@@ comparten el baño.,
,,,,,,,Lunes y martes son días de la @@semana@@.,
,,,,,,,Hoy es miércoles. Mañana es @@jueves@@.,
,,,,,,,Ayer fue @@lunes@@. Hoy es martes. ,
,,,,,,,Hoy es miércoles. Pasado mañana es @@viernes@@.,
,,,,,,,El científico hace experimentos en el @@laboratorio@@.,
