word,definition,English translation,lesson,tags
À bientôt.,,See you soon.,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Bonjour et au revoir;phrase
à condition que...,,"on the condition that…, provided that…",Leçon_15B,Espaces;Unité_15;Leçon_15B;Les arts;Conjonctions suivies du subjonctif;phrase
à côté de,,next to,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Prepositions of Location;preposition
À demain.,,See you tomorrow.,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Bonjour et au revoir;phrase
à droite de,,to the right of,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Prepositions of Location;preposition
à gauche de,,to the left of,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Prepositions of Location;preposition
à l’étranger,,"abroad, overseas",Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Partir en voyage;adverb
à la maison,,at home,Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Prepositions;phrase
à la radio,,on the radio,Leçon_15B,Espaces;Unité_15;Leçon_15B;Les arts;Le cinéma et la télévision;phrase
à la télé,,on television,Leçon_15B,Espaces;Unité_15;Leçon_15B;Les arts;Le cinéma et la télévision;phrase
à la télévision ,,on television,Leçon_15B,Espaces;Unité_15;Leçon_15B;Les arts;Le cinéma et la télévision;phrase
à la terrasse,,on the terrace,Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Prepositions;phrase
à moins que...,,unless…,Leçon_15B,Espaces;Unité_15;Leçon_15B;Les arts;Conjonctions suivies du subjonctif;phrase
à Paris,,in Paris,Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Prepositions;phrase
À plus tard.,,See you later.,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Bonjour et au revoir;phrase
À quelle heure?,,(At) what time/when?,Leçon_2B; Leçon_4A,Espaces;Unité_2;Leçon_2B;À la fac;Telling time;phrase;Unité_4;Leçon_4A;Au café;Les questions
à qui?,,to whom?,Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Les questions;phrase
À table!,,Let's eat!/Food is ready!,Leçon_9B,Espaces;Unité_9;Leçon_9B;La nourriture;À table!;phrase
À tout à l’heure.,,See you later.,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Bonjour et au revoir;phrase
abolir,,to abolish,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;Les lois et les règlements;verb
absolument,,absolutely,Leçon_7B,Espaces;Unité_7;Leçon_7B;En vacances;Adverbs;adverb
accompagner,,to accompany,Leçon_12A,Espaces;Unité_12;Leçon_12A;En ville;En ville;verb
acheter,,to buy,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Verbes;verb
actif,,active (m.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs irréguliers;adjective
active,,active (f.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs irréguliers;adjective
activement,,actively,Leçon_7B,Espaces;Unité_7;Leçon_7B;En vacances;Adverbs;adverb
adorer,,to love,Leçon_2A; Leçon_11A,Espaces;Unité_2;Leçon_2A;À la fac;Verbes;verb;Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive
agréable,,pleasant ,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
aider (à),,to help,Leçon_11A; Leçon_5A,Espaces;Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive;verb;Unité_5;Leçon_5A;Les loisirs;Activités sportives et loisirs
aimer,,to like; to love,Leçon_2A; Leçon_11A,Espaces;Unité_2;Leçon_2A;À la fac;Verbes;verb; Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive
aimer mieux,,to prefer,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;Verbes;verb
aimer que…,,to like that…,Leçon_14B,Espaces;Unité_14;Leçon_14B;L'espace vert;Verbs and expressions of emotion;phrase
aîné,,elder (m.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;La famille;adjective
aînée,,elder (f.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;La famille;adjective
algérien,,Algerian (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
algérienne,,Algerian (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
Allemagne,,Germany (f.),Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;noun
allemand,,German (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
allemande,,German (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
aller,,to go,Leçon_4A; Leçon_11A; Leçon_7A,Espaces;Unité_4;Leçon_4A;Au café;verb;Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive;Unité_7;Leçon_7A;En vacances;Verbes
aller à la pêche,,to go fishing,Leçon_5A,Espaces;Unité_5;Leçon_5A;Les loisirs;Activités sportives et loisirs;phrase
aller à la pharmacie,,to go to the pharmacy,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;phrase
aller aux urgences,,to go to the emergency room,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;phrase
aller avec,,to go with,Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Les vêtements;phrase
Allô!,,Hello! (on the phone),Leçon_13A,Espaces;Unité_13;Leçon_13A;L'avenir et les métiers;Au téléphone;phrase
allumer,,to turn on,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;L’électronique;verb
alors,,"so, then; at that moment",Leçon_7B,Espaces;Unité_7;Leçon_7B;En vacances;Adverbes et locutions de temps;adverb
améliorer,,to improve,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;verb
amener,,to bring (someone),Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Verbes;verb
