id,name,rank,program_id,label,media_item_id
198,"Lección 1: Hola, ¿qué tal?",1,50,"Lección 1",00115931
199,Lección 2: Las clases,2,50,"Lección 2",00115932
200,Lección 3: La familia,3,50,"Lección 3",00115941
201,Lección 4: El fin de semana,4,50,"Lección 4",00115942
202,Lección 5: Las vacaciones,5,50,"Lección 5",00115943
203,Lección 6: ¡De compras!,6,50,"Lección 6",00115945
204,Lección 7: La vida diaria,7,50,"Lección 7",00115946
205,Lección 8: ¡A comer!,8,50,"Lección 8",00115947
206,Lección 9: Las celebraciones,9,50,"Lección 9",00115948
207,Lección 10: En el consultorio,10,50,"Lección 10",00115933
208,Lección 11: El carro y la tecnología,11,50,"Lección 11",00115934
209,"Lección 12: Hogar, dulce hogar",12,50,"Lección 12",00115935
210,Lección 13: La naturaleza,13,50,"Lección 13",00115936
211,Lección 14: En la ciudad,14,50,"Lección 14",00115937
212,Lección 15: El bienestar,15,50,"Lección 15",00115938
213,Lección 16: El mundo del trabajo,16,50,"Lección 16",00115939
220,Unité 1: Salut!,1,21,"Unité 1",00115931
221,Unité 2: À la fac,2,21,"Unité 2",00115932
222,Unité 3: La famille et les copains,3,21,"Unité 3",00115941
223,Unité 4: Au café,4,21,"Unité 4",00115942
224,Unité 5: Les loisirs,5,21,"Unité 5",00115943
225,Unité 6: Les fêtes,6,21,"Unité 6",00115945
226,Unité 7: En vacances,7,21,"Unité 7",00115946
227,Unité 8: Chez nous,8,21,"Unité 8",00115947
228,Unité 9: La nourriture,9,21,"Unité 9",00115948
229,Unité 10: La santé,10,21,"Unité 10",00115933
230,Unité 11: La technologie,11,21,"Unité 11",00115934
231,Unité 12: En ville,12,21,"Unité 12",00115935
232,Unité 13: L'espace vert,13,21,"Unité 13",00115936
