id,direction_line_text
951,"<span lang=""en-US"">Choose the word or phrase in each group that doesn't belong.</span>"
2008,"<span lang=""en-US"">Click on the verb form that goes with each subject.</span>"
2010,"<span lang=""en-US"">Click on the form of </span><b>estar</b> <span lang=""en-US"">that agrees with each subject pronoun.</span>"
3141,
3452,"<span lang=""en-US"">Click on the verb form that agrees with each subject pronoun.</span>"
3456,"<span lang=""en-US"">Click on the appropriate possessive pronoun. Use the subject of each sentence as a guide.</span>"
3872,
3900,"<span lang=""en-US"">Match the appropriate article to each noun.</span>"
3905,"<span lang=""en-US"">Select the appropriate form of <b>ser</b> from the drop-down menus to complete the paragraph.</span>"
4053,"<span lang=""en-US"">Choose the form of <b>ser</b> that agrees with each subject pronoun. </span>"
4183,"<span lang=""en-US"">Complete each sentence with the appropriate verb from the word bank.</span>"
4185,"<span lang=""en-US"">Choose the form of</span> <b>tener</b> <span lang=""en-US"">or</span> <b>venir</b> <span lang=""en-US"">that agrees with each subject pronoun.</span>"
7880,
7881,
7882,
7885,
8510,
8511,
8524,"<span lang=""en-US"">Complete each sentence with the appropriate form of</span> <b>ir</b>."
8646,Select the correct category for these words.
8670,"For each drawing, you will hear two statements. Choose the one that corresponds to the drawing."
9262,"<span lang=""en-US"">Play a video clip. Then record yourself repeating what Sra. Ramos says. Compare your pronunciation with hers.</span>"
9299,"<span lang=""en-US"">Play a video clip. Then record yourself repeating what you heard. Compare your pronunciation with the speaker's.</span>"
9317,Play the video clip. Then record yourself repeating what you heard.  Compare your pronunciation with the speaker's.
9928,"<span lang=""en-US"">You will hear some questions and the responses. Decide if they are</span> <b>lógico</b> (<span lang=""en-US""><i>logical</i></span>) <span lang=""en-US"">or</span> <b>ilógico</b> (<span lang=""en-US""><i>illogical</i></span>)."
10367,"<span lang=""en-US"">Listen to the following description and write the missing words. </span>"
10373,"<span lang=""en-US"">Click on the term that doesn't belong in each group.</span>"
10389,Complete each phrase by selecting the correct word from the drop-down menu.
10450,"<span lang=""en-US"">Put the dialogues in logical order.</span>"
10622,"<span lang=""en-US"">Put the class schedule in chronological order.</span>"
10781,
10817,"<span lang=""en-US"">Click on the family term that does not belong to the group.</span>"
10906,Look over these useful words before you watch the video.
10972,"<span lang=""en-US"">Complete the sentences with the appropriate adjectives of nationality.</span>"
11040,"Complete each sentence with the correct word from the list below, according to the <b>¿Es grande tu familia?</b> segment of this video module."
11402,"<span lang=""en_US"">Listen to each question and choose the most logical response.</span>"
11497,
11507,"<span lang=""en-US""></span>"
11547,
11677,Choose the correct definite article for each noun.
11678,Choose the correct definite article for each noun.
11712,"<span lang=""en-US"">Use the calendar to answer these questions.</span>"
11718,"<span lang=""en-US"">Complete these sentences using the correct form of the verb in parentheses.</span>"
11731,"<span lang=""en-US"">Use these cues and the correct form of</span> <b>estar</b> <span lang=""en-US"">to write complete sentences. Add any missing words.</span>"
11764,Listen to each question and choose the most logical response.
11795,"In this video, you are going to learn about a Spanish festival. List the things you would probably do and see at a festival."
11803,Look at the clock and listen to the statement. Indicate whether the statement is <b>cierto</b> or <b>falso</b>.
11812,Complete each sentence with the correct forms of the adjectives in parentheses.
11821,Indicate whether each statement is <b>cierto</b> or <b>falso</b>.
11824,"<span lang=""en-US"">Answer each question affirmatively using the correct possessive adjective.</span>"
11825,"<span lang=""en-US"">Type the appropriate forms of the possessive adjectives indicated in parentheses.</span>"
11832,
11836,"<span lang=""en-US"">Add a prepositional phrase to clarify to whom each <span style=""white-space: nowrap;"">item or items</span> belong. Follow the model. </span> "
11838,"<span lang=""en-US"">Write sentences using possessive adjectives to indicate who owns these items.</span>"
11839,"<span lang=""en-US"">Inés is talking about her family. Complete her description with the correct possessive adjectives.</span>"
11844,"<span lang=""en-US"">Choose the most logical verb to complete each sentence, using the correct form.</span>"
11849,"<span lang=""en-US"">Complete these sentences with the correct forms of</span> <b>tener</b> <span lang=""en-US"">and</span> <b>venir</b>."
11857,Look over these useful words and expressions before you watch the video.
11858,"In this video, you are going to learn about some famous Dominican baseball players. In preparation, answer these questions about sports."
11902,Listen to each question and choose the most logical response.
11906,"<span lang=""en-US"">Listen to each statement and choose the possessive adjective you hear.</span>"
11911,Listen to each statement and choose the number of the statement corresponding to the drawing it describes.
11930,Answer these questions about your family.
