target_word,target_definition,base_word
"apoderarse","tomar posesión o control de una cosa o de una situación","to take control"
"aquejar","causar daño o sufrimiento físico, emocional o moral","to cause harm, to afflict"
"constatar","confirmar","to confirm"
"la sede","lugar donde una entidad tiene su domicilio","headquarters"
"sostenerse","mantenerse firme, resistir","to stay firm, to resist"
"la informática","conjunto de conocimientos científicos relacionados con las computadoras","computer science"
"el magisterio","la enseñanza; el conjunto de los maestros","teaching; faculty"
"mermado/a","disminuido, reducido","diminished, reduced"
"trasladar","mover o transferir de un uso o lugar a otro","to move, to transfer"
"encarnar","tomar forma corporal; personificar","to embody; to personify"
"enarbolar","levantar, elevar (especialmente una bandera o una causa)","to raise"
"satanizar","representar como diabólico o maligno","to demonize"
"la rentabilidad","el beneficio económico","profitability"
"la chabola","una casa pequeña y de pésima calidad","a hut or shack"
"vitalicio/a","que dura toda la vida ","lifelong"
"el reclamo","demanda o petición","a claim or petition"
"perecer","morir, sucumbir","to perish"
"concertarse","estar de acuerdo, armonizar","to be in agreement, to harmonize"
"sembrar","cultivar; dar motivo o principio a algo","to cultivate; to inspire"
"empresa","acción difícil que requiere decisión y esfuerzo para lograrse","an endeavor"
"generar","crear algo, producir, engendrar","to create, to produce, to conceive"
"avasallador/a","que domina o se impone","overwhelming"
"el interrogante","duda, pregunta; problema no aclarado","doubt, question; unanswered question"
"el engaño","mentira, falsedad","a lie, a trick"
"trinar","publicar in comentario en twitter","to tweet"
"el/la aliado/a","una entidad (persona o país) que se une con otra para alcanzar objetivos comunes","an ally"
"el perfil","rasgos y datos personales que se registran en una cuenta","a profile"
"rastrear","seguir el rastro o las huellas; vigilar","to track; to watch for"
"el dispositivo","aparato o mecanismo que tiene una función específica","a device or mechanism"
"el/la ermitaño/a","persona que prefiere vivir en soledad, apartada de la sociedad","a hermit"
